,MA_dates,Time_periods,Profit_rate,Profit_rate_annual,Profit_original,Profit_original_annual,outperform
86,21,1095,31.44%,9.54%,13.13%,4.20%,5.34%
87,22,1095,18.89%,5.94%,13.13%,4.20%,1.74%
88,23,1095,4.69%,1.54%,13.13%,4.20%,-2.66%
89,24,1095,8.36%,2.71%,13.13%,4.20%,-1.49%
90,25,1095,7.12%,2.32%,13.13%,4.20%,-1.88%
91,26,1095,-3.47%,-1.17%,13.13%,4.20%,-5.37%
92,27,1095,-6.90%,-2.35%,13.13%,4.20%,-6.55%
93,28,1095,-6.48%,-2.21%,13.13%,4.20%,-6.40%
94,29,1095,-10.20%,-3.52%,13.13%,4.20%,-7.72%
95,30,1095,-8.54%,-2.93%,13.13%,4.20%,-7.13%
